Row,Number of Houses,Pipe Size
Row 1,5,5 inches
Row 2,15,15 inches
Row 3,5,5 inches
Row 4,5,5 inches
Row 5,14,15 inches
Row 6,5,5 inches
Row 7,8,10 inches
Row 8,12,15 inches
Row 9,9,10 inches
Row 10,6,10 inches
Row 11,11,15 inches
Row 12,8,10 inches
Row 13,6,10 inches
Row 14,10,10 inches
Row 15,9,10 inches
Row 16,5,5 inches
Row 17,11,15 inches
Row 18,6,10 inches
Row 19,5,5 inches
Row 20,12,15 inches
Row 21,6,10 inches
Row 22,6,10 inches
Row 23,4,5 inches
Row 24,14,15 inches
Row 25,8,10 inches
Row 26,14,15 inches
Row 27,11,15 inches
Row 28,11,15 inches
Row 29,14,15 inches
Row 30,10,10 inches
Row 31,12,15 inches
Row 32,8,10 inches
Row 33,8,10 inches
Row 34,13,15 inches
Row 35,5,5 inches
Row 36,7,10 inches
Row 37,9,10 inches
Row 38,4,5 inches
Row 39,9,10 inches
Row 40,10,10 inches
Row 41,9,10 inches
Row 42,6,10 inches
Row 43,6,10 inches
Row 44,13,15 inches
Row 45,10,10 inches
Row 46,13,15 inches
Row 47,10,10 inches
Row 48,13,15 inches
Row 49,7,10 inches
Row 50,6,10 inches
Row 51,15,15 inches
Row 52,4,5 inches
Row 53,4,5 inches
Row 54,4,5 inches
Row 55,7,10 inches
Row 56,4,5 inches
Row 57,13,15 inches
Row 58,14,15 inches
Row 59,8,10 inches
Row 60,8,10 inches
Row 61,12,15 inches
Row 62,9,10 inches
Row 63,8,10 inches
Row 64,9,10 inches
Row 65,11,15 inches
Row 66,12,15 inches
Row 67,12,15 inches
Row 68,13,15 inches
Row 69,11,15 inches
Row 70,14,15 inches
Row 71,7,10 inches
Row 72,5,5 inches
Row 73,4,5 inches
Row 74,14,15 inches
Row 75,7,10 inches
Row 76,4,5 inches
Row 77,13,15 inches
Row 78,9,10 inches
Row 79,13,15 inches
Row 80,10,10 inches
Row 81,11,15 inches
Row 82,6,10 inches
Row 83,10,10 inches
Row 84,4,5 inches
Row 85,12,15 inches
Row 86,13,15 inches
Row 87,7,10 inches
Row 88,13,15 inches
Row 89,13,15 inches
Row 90,14,15 inches
Row 91,4,5 inches
Row 92,4,5 inches
Row 93,4,5 inches
Row 94,6,10 inches
Row 95,9,10 inches
Row 96,9,10 inches
Row 97,12,15 inches
Row 98,10,10 inches
Row 99,11,15 inches
Row 100,4,5 inches
