Row,Number of Houses,Pipe Size,pipe_size
Row 1,10,10 inches,15 inches
Row 2,13,15 inches,15 inches
Row 3,13,15 inches,15 inches
Row 4,13,15 inches,15 inches
Row 5,11,15 inches,15 inches
Row 6,8,10 inches,15 inches
Row 7,10,10 inches,15 inches
Row 8,14,15 inches,15 inches
Row 9,9,10 inches,15 inches
Row 10,12,15 inches,15 inches
Row 11,13,15 inches,15 inches
Row 12,6,10 inches,15 inches
Row 13,11,15 inches,15 inches
Row 14,6,10 inches,15 inches
Row 15,10,10 inches,15 inches
Row 16,15,15 inches,15 inches
Row 17,13,15 inches,15 inches
Row 18,14,15 inches,15 inches
Row 19,7,10 inches,15 inches
Row 20,13,15 inches,15 inches
Row 21,11,15 inches,15 inches
Row 22,15,15 inches,15 inches
Row 23,15,15 inches,15 inches
Row 24,9,10 inches,15 inches
Row 25,13,15 inches,15 inches
Row 26,8,10 inches,15 inches
Row 27,15,15 inches,15 inches
Row 28,7,10 inches,15 inches
Row 29,6,10 inches,15 inches
Row 30,12,15 inches,15 inches
Row 31,12,15 inches,15 inches
Row 32,10,10 inches,15 inches
Row 33,13,15 inches,15 inches
Row 34,14,15 inches,15 inches
Row 35,9,10 inches,15 inches
Row 36,9,10 inches,15 inches
Row 37,15,15 inches,15 inches
Row 38,9,10 inches,15 inches
Row 39,12,15 inches,15 inches
Row 40,9,10 inches,15 inches
Row 41,8,10 inches,15 inches
Row 42,15,15 inches,15 inches
Row 43,7,10 inches,15 inches
Row 44,8,10 inches,15 inches
Row 45,6,10 inches,15 inches
Row 46,12,15 inches,15 inches
Row 47,13,15 inches,15 inches
Row 48,5,5 inches,15 inches
Row 49,14,15 inches,15 inches
Row 50,5,5 inches,15 inches
Row 51,10,10 inches,15 inches
Row 52,9,10 inches,15 inches
Row 53,6,10 inches,15 inches
Row 54,10,10 inches,15 inches
Row 55,15,15 inches,15 inches
Row 56,8,10 inches,15 inches
Row 57,7,10 inches,15 inches
Row 58,15,15 inches,15 inches
Row 59,10,10 inches,15 inches
Row 60,11,15 inches,15 inches
Row 61,7,10 inches,15 inches
Row 62,12,15 inches,15 inches
Row 63,14,15 inches,15 inches
Row 64,14,15 inches,15 inches
Row 65,12,15 inches,15 inches
Row 66,6,10 inches,15 inches
Row 67,7,10 inches,15 inches
Row 68,10,10 inches,15 inches
Row 69,12,15 inches,15 inches
Row 70,10,10 inches,15 inches
Row 71,10,10 inches,15 inches
Row 72,13,15 inches,15 inches
Row 73,14,15 inches,15 inches
Row 74,5,5 inches,15 inches
Row 75,7,10 inches,15 inches
Row 76,15,15 inches,15 inches
Row 77,9,10 inches,15 inches
Row 78,11,15 inches,15 inches
Row 79,7,10 inches,15 inches
Row 80,8,10 inches,15 inches
Row 81,5,5 inches,15 inches
Row 82,8,10 inches,15 inches
Row 83,5,5 inches,15 inches
Row 84,6,10 inches,15 inches
Row 85,8,10 inches,15 inches
Row 86,10,10 inches,15 inches
Row 87,8,10 inches,15 inches
Row 88,5,5 inches,15 inches
Row 89,12,15 inches,15 inches
Row 90,11,15 inches,15 inches
Row 91,13,15 inches,15 inches
Row 92,5,5 inches,15 inches
Row 93,10,10 inches,15 inches
Row 94,15,15 inches,15 inches
Row 95,8,10 inches,15 inches
Row 96,11,15 inches,15 inches
Row 97,11,15 inches,15 inches
Row 98,5,5 inches,15 inches
Row 99,12,15 inches,15 inches
Row 100,6,10 inches,15 inches
Row 101,8,10 inches,15 inches
Row 102,13,15 inches,15 inches
Row 103,15,15 inches,15 inches
Row 104,13,15 inches,15 inches
Row 105,11,15 inches,15 inches
Row 106,13,15 inches,15 inches
Row 107,15,15 inches,15 inches
Row 108,6,10 inches,15 inches
Row 109,11,15 inches,15 inches
Row 110,11,15 inches,15 inches
Row 111,5,5 inches,15 inches
Row 112,14,15 inches,15 inches
Row 113,8,10 inches,15 inches
Row 114,7,10 inches,15 inches
Row 115,14,15 inches,15 inches
Row 116,6,10 inches,15 inches
Row 117,6,10 inches,15 inches
Row 118,6,10 inches,15 inches
Row 119,13,15 inches,15 inches
Row 120,7,10 inches,15 inches
Row 121,7,10 inches,15 inches
Row 122,5,5 inches,15 inches
