Row,Number of Houses,Pipe Size
Row 1,15,15 inches
Row 2,9,10 inches
Row 3,8,10 inches
Row 4,14,15 inches
Row 5,10,10 inches
Row 6,12,15 inches
Row 7,7,10 inches
Row 8,15,15 inches
Row 9,10,10 inches
Row 10,5,5 inches
Row 11,8,10 inches
Row 12,6,10 inches
Row 13,7,10 inches
Row 14,11,15 inches
Row 15,14,15 inches
Row 16,8,10 inches
Row 17,6,10 inches
Row 18,7,10 inches
Row 19,11,15 inches
Row 20,15,15 inches
Row 21,12,15 inches
Row 22,12,15 inches
Row 23,13,15 inches
Row 24,13,15 inches
Row 25,15,15 inches
Row 26,6,10 inches
Row 27,7,10 inches
Row 28,12,15 inches
Row 29,6,10 inches
Row 30,14,15 inches
Row 31,8,10 inches
Row 32,8,10 inches
Row 33,15,15 inches
Row 34,14,15 inches
Row 35,6,10 inches
Row 36,7,10 inches
Row 37,8,10 inches
Row 38,6,10 inches
Row 39,8,10 inches
Row 40,6,10 inches
Row 41,10,10 inches
Row 42,9,10 inches
Row 43,15,15 inches
Row 44,15,15 inches
Row 45,15,15 inches
Row 46,9,10 inches
Row 47,6,10 inches
Row 48,15,15 inches
Row 49,13,15 inches
Row 50,12,15 inches
Row 51,7,10 inches
Row 52,5,5 inches
Row 53,7,10 inches
Row 54,14,15 inches
Row 55,10,10 inches
Row 56,8,10 inches
Row 57,12,15 inches
Row 58,7,10 inches
Row 59,9,10 inches
Row 60,6,10 inches
Row 61,11,15 inches
Row 62,7,10 inches
Row 63,13,15 inches
Row 64,5,5 inches
Row 65,9,10 inches
Row 66,10,10 inches
Row 67,8,10 inches
Row 68,12,15 inches
Row 69,7,10 inches
Row 70,10,10 inches
Row 71,8,10 inches
Row 72,10,10 inches
Row 73,13,15 inches
Row 74,5,5 inches
Row 75,6,10 inches
Row 76,14,15 inches
Row 77,7,10 inches
Row 78,15,15 inches
Row 79,15,15 inches
Row 80,12,15 inches
Row 81,14,15 inches
Row 82,11,15 inches
Row 83,9,10 inches
Row 84,15,15 inches
Row 85,5,5 inches
Row 86,6,10 inches
Row 87,5,5 inches
Row 88,8,10 inches
Row 89,13,15 inches
Row 90,14,15 inches
Row 91,11,15 inches
Row 92,6,10 inches
Row 93,13,15 inches
Row 94,9,10 inches
Row 95,9,10 inches
Row 96,8,10 inches
Row 97,5,5 inches
Row 98,8,10 inches
Row 99,12,15 inches
Row 100,9,10 inches
Row 101,6,10 inches
Row 102,10,10 inches
Row 103,14,15 inches
Row 104,13,15 inches
Row 105,5,5 inches
Row 106,11,15 inches
Row 107,8,10 inches
Row 108,6,10 inches
Row 109,9,10 inches
Row 110,14,15 inches
Row 111,6,10 inches
Row 112,13,15 inches
Row 113,13,15 inches
Row 114,10,10 inches
Row 115,10,10 inches
Row 116,15,15 inches
Row 117,8,10 inches
Row 118,12,15 inches
Row 119,9,10 inches
Row 120,13,15 inches
Row 121,13,15 inches
Row 122,12,15 inches
Row 123,5,5 inches
Row 124,11,15 inches
Row 125,14,15 inches
Row 126,5,5 inches
Row 127,9,10 inches
Row 128,15,15 inches
