Row,Number of Houses,Pipe Size,pipe_size
Row 1,15,15 inches,15 inches
Row 2,15,15 inches,15 inches
Row 3,8,10 inches,15 inches
Row 4,14,15 inches,15 inches
Row 5,8,10 inches,15 inches
Row 6,5,5 inches,15 inches
Row 7,8,10 inches,15 inches
Row 8,8,10 inches,15 inches
Row 9,14,15 inches,15 inches
Row 10,11,15 inches,15 inches
Row 11,5,5 inches,15 inches
Row 12,15,15 inches,15 inches
Row 13,9,10 inches,15 inches
Row 14,10,10 inches,15 inches
Row 15,12,15 inches,15 inches
Row 16,12,15 inches,15 inches
Row 17,14,15 inches,15 inches
Row 18,11,15 inches,15 inches
Row 19,7,10 inches,15 inches
Row 20,9,10 inches,15 inches
Row 21,14,15 inches,15 inches
Row 22,8,10 inches,15 inches
Row 23,10,10 inches,15 inches
Row 24,10,10 inches,15 inches
Row 25,8,10 inches,15 inches
Row 26,10,10 inches,15 inches
Row 27,7,10 inches,15 inches
Row 28,5,5 inches,15 inches
Row 29,10,10 inches,15 inches
Row 30,6,10 inches,15 inches
Row 31,13,15 inches,15 inches
Row 32,6,10 inches,15 inches
Row 33,5,5 inches,15 inches
Row 34,14,15 inches,15 inches
Row 35,10,10 inches,15 inches
Row 36,11,15 inches,15 inches
Row 37,11,15 inches,15 inches
Row 38,11,15 inches,15 inches
Row 39,7,10 inches,15 inches
Row 40,15,15 inches,15 inches
Row 41,7,10 inches,15 inches
Row 42,14,15 inches,15 inches
Row 43,7,10 inches,15 inches
Row 44,15,15 inches,15 inches
Row 45,12,15 inches,15 inches
Row 46,10,10 inches,15 inches
Row 47,5,5 inches,15 inches
Row 48,9,10 inches,15 inches
Row 49,14,15 inches,15 inches
Row 50,14,15 inches,15 inches
Row 51,8,10 inches,15 inches
Row 52,14,15 inches,15 inches
Row 53,6,10 inches,15 inches
Row 54,15,15 inches,15 inches
Row 55,15,15 inches,15 inches
Row 56,6,10 inches,15 inches
Row 57,9,10 inches,15 inches
Row 58,15,15 inches,15 inches
Row 59,14,15 inches,15 inches
Row 60,15,15 inches,15 inches
Row 61,5,5 inches,15 inches
Row 62,10,10 inches,15 inches
Row 63,5,5 inches,15 inches
Row 64,11,15 inches,15 inches
Row 65,9,10 inches,15 inches
Row 66,8,10 inches,15 inches
Row 67,14,15 inches,15 inches
Row 68,14,15 inches,15 inches
Row 69,9,10 inches,15 inches
Row 70,15,15 inches,15 inches
Row 71,5,5 inches,15 inches
Row 72,5,5 inches,15 inches
Row 73,15,15 inches,15 inches
Row 74,12,15 inches,15 inches
Row 75,15,15 inches,15 inches
Row 76,15,15 inches,15 inches
Row 77,5,5 inches,15 inches
Row 78,5,5 inches,15 inches
Row 79,8,10 inches,15 inches
Row 80,14,15 inches,15 inches
Row 81,10,10 inches,15 inches
Row 82,6,10 inches,15 inches
Row 83,12,15 inches,15 inches
Row 84,12,15 inches,15 inches
Row 85,10,10 inches,15 inches
Row 86,14,15 inches,15 inches
Row 87,10,10 inches,15 inches
Row 88,14,15 inches,15 inches
Row 89,7,10 inches,15 inches
Row 90,13,15 inches,15 inches
Row 91,10,10 inches,15 inches
Row 92,8,10 inches,15 inches
Row 93,11,15 inches,15 inches
Row 94,6,10 inches,15 inches
Row 95,6,10 inches,15 inches
Row 96,7,10 inches,15 inches
Row 97,13,15 inches,15 inches
Row 98,14,15 inches,15 inches
Row 99,9,10 inches,15 inches
Row 100,15,15 inches,15 inches
Row 101,12,15 inches,15 inches
Row 102,12,15 inches,15 inches
Row 103,15,15 inches,15 inches
Row 104,7,10 inches,15 inches
Row 105,10,10 inches,15 inches
Row 106,11,15 inches,15 inches
Row 107,14,15 inches,15 inches
Row 108,9,10 inches,15 inches
Row 109,8,10 inches,15 inches
Row 110,7,10 inches,15 inches
Row 111,10,10 inches,15 inches
Row 112,7,10 inches,15 inches
Row 113,12,15 inches,15 inches
Row 114,15,15 inches,15 inches
Row 115,13,15 inches,15 inches
