Row,Number of Houses,Pipe Size
Row 1,14,15 inches
Row 2,6,10 inches
Row 3,14,15 inches
Row 4,10,10 inches
Row 5,7,10 inches
Row 6,8,10 inches
Row 7,8,10 inches
Row 8,12,15 inches
Row 9,15,15 inches
Row 10,9,10 inches
Row 11,12,15 inches
Row 12,14,15 inches
Row 13,5,5 inches
Row 14,8,10 inches
Row 15,5,5 inches
Row 16,9,10 inches
Row 17,8,10 inches
Row 18,15,15 inches
Row 19,9,10 inches
Row 20,12,15 inches
Row 21,13,15 inches
Row 22,6,10 inches
Row 23,11,15 inches
Row 24,11,15 inches
Row 25,8,10 inches
Row 26,11,15 inches
Row 27,5,5 inches
Row 28,12,15 inches
Row 29,6,10 inches
Row 30,5,5 inches
Row 31,10,10 inches
Row 32,11,15 inches
Row 33,10,10 inches
Row 34,5,5 inches
Row 35,14,15 inches
Row 36,11,15 inches
Row 37,15,15 inches
Row 38,6,10 inches
Row 39,5,5 inches
Row 40,11,15 inches
Row 41,15,15 inches
Row 42,9,10 inches
Row 43,5,5 inches
Row 44,5,5 inches
Row 45,11,15 inches
Row 46,13,15 inches
Row 47,13,15 inches
Row 48,13,15 inches
Row 49,13,15 inches
Row 50,12,15 inches
Row 51,11,15 inches
Row 52,10,10 inches
Row 53,6,10 inches
Row 54,14,15 inches
Row 55,6,10 inches
Row 56,9,10 inches
Row 57,8,10 inches
Row 58,14,15 inches
Row 59,9,10 inches
Row 60,6,10 inches
Row 61,15,15 inches
Row 62,8,10 inches
Row 63,15,15 inches
Row 64,13,15 inches
Row 65,6,10 inches
Row 66,6,10 inches
Row 67,15,15 inches
Row 68,12,15 inches
Row 69,10,10 inches
Row 70,7,10 inches
Row 71,12,15 inches
Row 72,13,15 inches
Row 73,10,10 inches
Row 74,8,10 inches
Row 75,12,15 inches
Row 76,12,15 inches
Row 77,13,15 inches
Row 78,13,15 inches
Row 79,7,10 inches
Row 80,13,15 inches
Row 81,14,15 inches
Row 82,7,10 inches
Row 83,15,15 inches
Row 84,13,15 inches
Row 85,15,15 inches
Row 86,9,10 inches
Row 87,8,10 inches
Row 88,13,15 inches
Row 89,10,10 inches
Row 90,12,15 inches
Row 91,12,15 inches
Row 92,8,10 inches
Row 93,9,10 inches
Row 94,12,15 inches
Row 95,5,5 inches
Row 96,12,15 inches
Row 97,7,10 inches
Row 98,8,10 inches
Row 99,15,15 inches
Row 100,13,15 inches
Row 101,15,15 inches
